Event,Position,Athlete,Nationality,Result
1992_World_Junior_Championships_in_Athletics_–_Men's_high_jump,1st,Steve Smith,United Kingdom,2.37
1992_World_Junior_Championships_in_Athletics_–_Men's_high_jump,2nd,Tim Forsyth,Australia,2.31
1992_World_Junior_Championships_in_Athletics_–_Men's_high_jump,3rd,Takahiro Kimino,Japan,2.29
1992_World_Junior_Championships_in_Athletics_–_Men's_high_jump,4th,Kim Tae Young,South Korea,2.23
1992_World_Junior_Championships_in_Athletics_–_Men's_high_jump,5th,Sergey Klyugin,Commonwealth of Independent States,2.20
1992_World_Junior_Championships_in_Athletics_–_Men's_high_jump,6th,Kristofer Lamos,Germany,2.20
1992_World_Junior_Championships_in_Athletics_–_Men's_high_jump,7th,Tomáš Janků,Czechoslovakia,2.17
1992_World_Junior_Championships_in_Athletics_–_Men's_high_jump,8th,Coenraad Roux,South Africa,2.17
1992_World_Junior_Championships_in_Athletics_–_Men's_high_jump,9th,Clayton Pugh,Australia,2.17
1992_World_Junior_Championships_in_Athletics_–_Men's_high_jump,10th,Xu Xiaodong,China,2.14
1994_World_Junior_Championships_in_Athletics_–_Men's_high_jump,1st,Jagan Hames,Australia,2.23
1994_World_Junior_Championships_in_Athletics_–_Men's_high_jump,2nd,Antoine Burke,Ireland,2.20
1994_World_Junior_Championships_in_Athletics_–_Men's_high_jump,3rd,Mika Polku,Finland,2.20
1994_World_Junior_Championships_in_Athletics_–_Men's_high_jump,4th,Attila Zsivoczky,Hungary,2.20
1994_World_Junior_Championships_in_Athletics_–_Men's_high_jump,5th,Roland Stark,Germany,2.15
1994_World_Junior_Championships_in_Athletics_–_Men's_high_jump,6th,Oskari Frösén,Finland,2.15
1994_World_Junior_Championships_in_Athletics_–_Men's_high_jump,7th,Shunichi Kobayashi,Japan,2.10
1994_World_Junior_Championships_in_Athletics_–_Men's_high_jump,8th,Stefan Holm,Sweden,2.10
1994_World_Junior_Championships_in_Athletics_–_Men's_high_jump,9th,Tomohiro Nomura,Japan,2.10
1994_World_Junior_Championships_in_Athletics_–_Men's_high_jump,10th,Henry Patterson,United States,2.10
1996_World_Junior_Championships_in_Athletics_–_Men's_high_jump,1st,Mark Boswell,Canada,2.24
1996_World_Junior_Championships_in_Athletics_–_Men's_high_jump,2nd,Svatoslav Ton,Czech Republic,2.21
1996_World_Junior_Championships_in_Athletics_–_Men's_high_jump,3rd,Ben Challenger,United Kingdom,2.21
1996_World_Junior_Championships_in_Athletics_–_Men's_high_jump,4th,Dave Furman,United States,2.18
1996_World_Junior_Championships_in_Athletics_–_Men's_high_jump,5th,Toni Huikuri,Finland,2.18
1996_World_Junior_Championships_in_Athletics_–_Men's_high_jump,6th,Dejan Vreljakovic,FR Yugoslavia,2.18
1996_World_Junior_Championships_in_Athletics_–_Men's_high_jump,7th,James Brierley,United Kingdom,2.15
1996_World_Junior_Championships_in_Athletics_–_Men's_high_jump,8th,Roman Fricke,Germany,2.15
1996_World_Junior_Championships_in_Athletics_–_Men's_high_jump,9th,François Potgieter,South Africa,2.15
1996_World_Junior_Championships_in_Athletics_–_Men's_high_jump,10th,Yannick Tregaro,Sweden,2.10
1998_World_Junior_Championships_in_Athletics_–_Men's_high_jump,1st,Alfredo Deza,Peru,2.21
1998_World_Junior_Championships_in_Athletics_–_Men's_high_jump,2nd,Yin Xueli,China,2.21
1998_World_Junior_Championships_in_Athletics_–_Men's_high_jump,3rd,Aleksandr Veryutin,Belarus,2.21
1998_World_Junior_Championships_in_Athletics_–_Men's_high_jump,4th,Mike Ponikvar,Canada,2.21
1998_World_Junior_Championships_in_Athletics_–_Men's_high_jump,5th,Yaroslav Rybakov,Russia,2.18
1998_World_Junior_Championships_in_Athletics_–_Men's_high_jump,6th,Pawel Mankiewicz,Poland,2.15
1998_World_Junior_Championships_in_Athletics_–_Men's_high_jump,7th,Naoyuki Daigo,Japan,2.15
1998_World_Junior_Championships_in_Athletics_–_Men's_high_jump,8th,Ronald Garlett,Australia,2.10
1998_World_Junior_Championships_in_Athletics_–_Men's_high_jump,9th,Martin Lloyd,United Kingdom,2.10
1998_World_Junior_Championships_in_Athletics_–_Men's_high_jump,10th,Casper Labuschagne,South Africa,2.10
